Sr_No,Contact,Paper,Link,Google_Scholar_Link,Year,Author_Names,Citation,
119,Tian Li,Federated Agent Reinforcement Learning,https://openreview.net/forum?id=bKNQU6S33D,https://scholar.google.com/scholar?q=Tian%20Li,2026,"Canyu Chen, Kangyu Zhu, Zhaorun Chen, Zhanhui Zhou, Shizhe Diao, Yiping Lu, Tian Li, Manling Li, Dawn Song","Canyu Chen, Kangyu Zhu, Zhaorun Chen, Zhanhui Zhou, Shizhe Diao, Yiping Lu, Tian Li, Manling Li, Dawn Song (2026). Federated Agent Reinforcement Learning. ICLR/NeurIPS/ICML.",TRUE
120,Tian Li,Asynchronous Heavy-Tailed Optimization,https://arxiv.org/abs/2602.18002,https://scholar.google.com/scholar?q=Tian%20Li,2026,"Junfei Sun, Dixi Yao, Xuchen Gong, Tahseen Rabbani, Manzil Zaheer, Tian Li","Junfei Sun, Dixi Yao, Xuchen Gong, Tahseen Rabbani, Manzil Zaheer, Tian Li (2026). Asynchronous Heavy-Tailed Optimization (arXiv preprint 2602.18002).",FALSE
121,Tian Li,Federation over Text: Insight Sharing for Multi-Agent Reasoning,https://arxiv.org/abs/2604.16778,https://scholar.google.com/scholar?q=Tian%20Li,2026,"Dixi Yao, Tahseen Rabbani, Manzil Zaheer, Tian Li","Dixi Yao, Tahseen Rabbani, Manzil Zaheer, Tian Li (2026). Federation over Text: Insight Sharing for Multi-Agent Reasoning (arXiv preprint 2604.16778).",FALSE
122,Tian Li,Differentially Private Model Merging,https://arxiv.org/abs/2604.20985,https://scholar.google.com/scholar?q=Tian%20Li,2026,"Qichuan Yin, Manzil Zaheer, Tian Li","Qichuan Yin, Manzil Zaheer, Tian Li (2026). Differentially Private Model Merging (arXiv preprint 2604.20985).",FALSE
123,Tian Li,Efficient Adaptive Federated Optimization,https://proceedings.neurips.cc/paper_files/paper/2025/hash/fab71c08b15508fd6c435e59b0e82b68-Abstract-Conference.html,https://scholar.google.com/scholar?q=Tian%20Li,2025,"Su Hyeong Lee, Sidharth Sharma, Manzil Zaheer, Tian Li","Su Hyeong Lee, Sidharth Sharma, Manzil Zaheer, Tian Li (2025). Efficient Adaptive Federated Optimization. Advances in Neural Information Processing Systems.",TRUE
124,Victor Veitch,The Information Geometry of Softmax: Probing and Steering,https://arxiv.org/abs/2602.15293,https://scholar.google.com/scholar?q=Victor%20Veitch,2026,"Kiho Park, Todd Nief, Yo Joong Choe, Victor Veitch","Kiho Park, Todd Nief, Yo Joong Choe, Victor Veitch (2026). The Information Geometry of Softmax: Probing and Steering (arXiv preprint 2602.15293).",FALSE
125,Victor Veitch,"Expected Reward Prediction, with Applications to Model Routing",https://arxiv.org/abs/2603.2021,https://scholar.google.com/scholar?q=Victor%20Veitch,2026,"Kenan Hasanaliyev, Silas Alberti, Jenny Hamer, Dheeraj Rajagopal, Kevin Robinson, Jasper Snoek, Victor Veitch, Alexander Nicholas D'Amour","Kenan Hasanaliyev, Silas Alberti, Jenny Hamer, Dheeraj Rajagopal, Kevin Robinson, Jasper Snoek, Victor Veitch, Alexander Nicholas D'Amour (2026). Expected Reward Prediction, with Applications to Model Routing (arXiv preprint 2603.2021).",FALSE
126,Victor Veitch,Chasing the Tail: Effective Rubric-based Reward Modeling for Large Language Model Post-Training,https://proceedings.iclr.cc/paper_files/paper/2026/hash/d8183233dbb325a7e165909042a47e15-Abstract-Conference.html,https://scholar.google.com/scholar?q=Victor%20Veitch,2026,"Junkai Zhang, Zihao Wang, Lin Gui, Swarnashree Mysore Sathyendra, Jaehwan Jeong, Victor Veitch, Wei Wang, Yunzhong He, Bing Liu, Lifeng Jin","Junkai Zhang, Zihao Wang, Lin Gui, Swarnashree Mysore Sathyendra, Jaehwan Jeong, Victor Veitch, Wei Wang, Yunzhong He, Bing Liu, Lifeng Jin (2026). Chasing the Tail: Effective Rubric-based Reward Modeling for Large Language Model Post-Training. International Conference on Learning Representations (ICLR).",TRUE
127,Victor Veitch,Optimization Dynamics Imprint Semantic Specificity in Contrastive Embedding Norms,https://arxiv.org/abs/2606.30625,https://scholar.google.com/scholar?q=Victor%20Veitch,2026,"Ziwei Su, Junyu Ren, Victor Veitch","Ziwei Su, Junyu Ren, Victor Veitch (2026). Optimization Dynamics Imprint Semantic Specificity in Contrastive Embedding Norms (arXiv preprint 2606.30625).",FALSE
128,Yuan Chang Leong,Differentiation drives the erosion of positivity on social media,https://www.pnas.org/doi/10.1073/pnas.2527316123,https://scholar.google.com/scholar?q=Yuan%20Chang%20Leong,2026,"Hongkai Mao, Yuan Chang Leong, Yutong Jiang, Alex Koch, William J. Brady, Joshua Conrad Jackson","Hongkai Mao, Yuan Chang Leong, Yutong Jiang, Alex Koch, William J. Brady, Joshua Conrad Jackson (2026). Differentiation drives the erosion of positivity on social media. PNAS.",TRUE
129,Yuan Chang Leong,Natural language reveals that political partisans are more affectively aligned over political issues than partisan identities,https://pubmed.ncbi.nlm.nih.gov/41748913/,https://scholar.google.com/scholar?q=Yuan%20Chang%20Leong,2026,"Nakwon Rim, Joshua Conrad Jackson, Marc G Berman, Yuan Chang Leong","Nakwon Rim, Joshua Conrad Jackson, Marc G Berman, Yuan Chang Leong (2026). Natural language reveals that political partisans are more affectively aligned over political issues than partisan identities. PubMed.",TRUE
130,Yuan Chang Leong,"A common connectome-based neural reference space across affective, autonomic, and wakefulness arousal",https://www.biorxiv.org/content/10.64898/2026.06.08.730730v1,https://scholar.google.com/scholar?q=Yuan%20Chang%20Leong,2026,"Kannon Bhattacharyya, Judah Huberman-Shlaes, Yulin Tong, Yuxuan Zhu, Jin Ke, Jadyn S. Park, Anna Corriveau, Monica D. Rosenberg, Yuan Chang Leong","Kannon Bhattacharyya, Judah Huberman-Shlaes, Yulin Tong, Yuxuan Zhu, Jin Ke, Jadyn S. Park, Anna Corriveau, Monica D. Rosenberg, Yuan Chang Leong (2026). A common connectome-based neural reference space across affective, autonomic, and wakefulness arousal (bioRxiv).",FALSE
131,Rana Hanocka,Deep Feature Deformation Weights,https://arxiv.org/abs/2601.12527,https://scholar.google.com/scholar?q=Rana%20Hanocka,2026,"Richard Liu, Itai Lang, Rana Hanocka","Richard Liu, Itai Lang, Rana Hanocka (2026). Deep Feature Deformation Weights (arXiv preprint 2601.12527).",TRUE
132,Yuxin Chen,"Geometry, Not Energy Surface, Drives the Neutral MLIP–DFT Gap in Atomistic Interaction Surrogates",https://openreview.net/forum?id=r2NSBJ4ip7,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Rui Ding, Zixin Ding, Rodrigo P Ferreira, Yuxin Chen, Junhong Chen","Rui Ding, Zixin Ding, Rodrigo P Ferreira, Yuxin Chen, Junhong Chen (2026). Geometry, Not Energy Surface, Drives the Neutral MLIP–DFT Gap in Atomistic Interaction Surrogates. In Proceedings of the International Conference on Learning Representations (ICLR).",TRUE
133,Yuxin Chen,Text-Twin-Translation: A Full-Stack Machine Learning Framework for Functional Material-Device Systems Discovery,https://openreview.net/forum?id=eqBZpIAHGC,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Rui Ding, Zixin Ding, Rodrigo P. Ferreira, Yuxin Chen, Junhong Chen","Rui Ding, Zixin Ding, Rodrigo P. Ferreira, Yuxin Chen, Junhong Chen (2026). Text-Twin-Translation: A Full-Stack Machine Learning Framework for Functional Material-Device Systems Discovery. In Proceedings of the International Conference on Learning Representations (ICLR).",TRUE
134,Yuxin Chen,Active Curriculum Refinement for Reinforcement Learning,https://openreview.net/forum?id=BhS108cyjT,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Zhenya Liu, Yuxin Chen","Zhenya Liu, Yuxin Chen (2026). Active Curriculum Refinement for Reinforcement Learning. In Proceedings of the International Conference on Learning Representations (ICLR).",TRUE
135,Yuxin Chen,Learning to Trigger: Reinforcement Learning at Large Hadron Collider,https://openreview.net/forum?id=x7tbgnfCbd,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Zixin Ding, Shaghayegh Emami, Giovanna Salvi, Cecilia Tosciri, Abhijith Gandrakota, Ngadiuba Jennifer, Nhan Tran, Christian Herwig, David Miller, Yuxin Chen","Zixin Ding, Shaghayegh Emami, Giovanna Salvi, Cecilia Tosciri, Abhijith Gandrakota, Ngadiuba Jennifer, Nhan Tran, Christian Herwig, David Miller, Yuxin Chen (2026). Learning to Trigger: Reinforcement Learning at Large Hadron Collider. In Proceedings of the International Conference on Learning Representations (ICLR).",TRUE
136,Yuxin Chen,Automatic Prompt Engineering for Scalable Prompt Inversion in Text-to-Image Ad Generation,https://openreview.net/forum?id=oVQy58oEpX#discussion,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Zixin Ding, Qi Zeng, Boying Gong, Wenlong Deng, Bo Pan, Yuxin Chen","Zixin Ding, Qi Zeng, Boying Gong, Wenlong Deng, Bo Pan, Yuxin Chen (2026). Automatic Prompt Engineering for Scalable Prompt Inversion in Text-to-Image Ad Generation. In Proceedings of the International Conference on Learning Representations (ICLR).",TRUE
137,Yuxin Chen,Scaling Textual Gradients via Sampling-Based Momentum,https://arxiv.org/abs/2506.00400,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Zixin Ding, Junyuan Hong, Zhan Shi, Tianhao Wang, Zinan Lin, Li Yin, Meng Liu, Zhangyang Wang, Yuxin Chen","Zixin Ding, Junyuan Hong, Zhan Shi, Tianhao Wang, Zinan Lin, Li Yin, Meng Liu, Zhangyang Wang, Yuxin Chen (2026). Scaling Textual Gradients via Sampling-Based Momentum (arXiv preprint 2506.00400).",FALSE
138,Yuxin Chen,Accelerating PDE Surrogates via RL-Guided Mesh Optimization,https://openreview.net/forum?id=XPhYq5Hty8,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Yang Meng, Ruoxi Jiang, Zhuokai Zhao, Chong Liu, Rebecca Willett, Yuxin Chen","Yang Meng, Ruoxi Jiang, Zhuokai Zhao, Chong Liu, Rebecca Willett, Yuxin Chen (2026). Accelerating PDE Surrogates via RL-Guided Mesh Optimization. In Proceedings of the International Conference on Learning Representations (ICLR).",TRUE
139,Yuxin Chen,Towards a Self-Driving Trigger at the LHC: Adaptive Response in Real Time,https://arxiv.org/abs/2601.08910,https://scholar.google.com/scholar?q=Yuxin%20Chen,2026,"Shaghayegh Emami, Cecilia Tosciri, Giovanna Salvi, Zixin Ding, Yuxin Chen, Abhijith Gandrakota, Christian Herwig, David W. Miller, Jennifer Ngadiuba, Nhan Tran","Shaghayegh Emami, Cecilia Tosciri, Giovanna Salvi, Zixin Ding, Yuxin Chen, Abhijith Gandrakota, Christian Herwig, David W. Miller, Jennifer Ngadiuba, Nhan Tran (2026). Towards a Self-Driving Trigger at the LHC: Adaptive Response in Real Time (arXiv preprint 2601.08910).",FALSE
